Description,Manufacturer,Part Number,Rating,Load Center Type,Spaces,Circuits,Load Center Use,Mount,Load Center Features,BRSID
"Siemens 125A Main Lug Only Loadcenter, 8 Space, 16 Circuit, Indoor, Flush Mount",Siemens,E0816ML1125F,125,Main Lug Only,8,16,Indoor,Flush,,LOAD-CENTER-Siemens-E0816ML1125F
"Siemens 125A Main Lug Only Loadcenter, 8 Space, 16 Circuit, Indoor, Surface Mount",Siemens,E0816ML1125S,125,Main Lug Only,8,16,Indoor,Surface,,LOAD-CENTER-Siemens-E0816ML1125S
"Eaton 225A Main Breaker Enclosure Loadcenter, 2 Space, 2 Circuit, Indoor, Flush Mount, DISCONTINUED",Eaton,ECB225R,225,Main Breaker Enclosure,2,2,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Eaton-ECB225R
"Eaton 150A Main Breaker Enclosure Loadcenter, 2 Space, 2 Circuit, Outdoor, Surface Mount",Eaton,ECCVH150R,150,Main Breaker Enclosure,2,2,Outdoor,Surface,,LOAD-CENTER-Eaton-ECCVH150R
"Eaton 200A Main Breaker Enclosure Loadcenter, 2 Space, 2 Circuit, Outdoor, Surface Mount",Eaton,ECCVH200R,200,Main Breaker Enclosure,2,2,Outdoor,Surface,,LOAD-CENTER-Eaton-ECCVH200R
"Square D 125A Convertible Loadcenter, 12 Space, 24 Circuit, Indoor, Flush Mount, Plug-On Neutral",Square D,HOM1224L125PGC,125,Convertible,12,24,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Square-D-HOM1224L125PGC
"Square D 125A Convertible Loadcenter, 12 Space, 24 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Square D,HOM1224L125PRB,125,Convertible,12,24,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Square-D-HOM1224L125PRB
"Square D 225A Convertible Loadcenter, 12 Space, 24 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Square D,HOM12L225PRB,225,Convertible,12,24,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Square-D-HOM12L225PRB
"Square D 225A Convertible Loadcenter, 16 Space, 32 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Square D,HOM1632L225PRB,225,Convertible,16,32,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Square-D-HOM1632L225PRB
"Square D 125A Convertible Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount, Plug-On Neutral",Square D,HOM2040L125PC,125,Convertible,20,40,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Square-D-HOM2040L125PC
"Square D 125A Convertible Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount, Plug-On Neutral",Square D,HOM2040L125PGC,125,Convertible,20,40,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Square-D-HOM2040L125PGC
"Square D 125A Convertible Loadcenter, 20 Space, 40 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Square D,HOM2040L125PRB,125,Convertible,20,40,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Square-D-HOM2040L125PRB
"Square D 225A Convertible Loadcenter, 20 Space, 40 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Square D,HOM2040L225PRB,225,Convertible,20,40,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Square-D-HOM2040L225PRB
"Square D 100A Main Breaker Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount, Plug-On Neutral",Square D,HOM2040M100PC,100,Main Breaker,20,40,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Square-D-HOM2040M100PC
"Square D 200A Main Breaker Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount, Plug-On Neutral",Square D,HOM2040M200PC,200,Main Breaker,20,40,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Square-D-HOM2040M200PC
"Square D 200A Main Breaker Loadcenter, 20 Space, 40 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Square D,HOM2040M200PRB,200,Main Breaker,20,40,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Square-D-HOM2040M200PRB
"Square D 125A Convertible Loadcenter, 24 Space, 48 Circuit, Indoor, Flush Mount, Plug-On Neutral",Square D,HOM2448L125PGC,125,Convertible,24,48,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Square-D-HOM2448L125PGC
"Square D 125A Main Breaker Loadcenter, 24 Space, 48 Circuit, Indoor, Flush Mount, Plug-On Neutral",Square D,HOM2448M125PC,125,Main Breaker,24,48,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Square-D-HOM2448M125PC
"Square D 70A Main Lug Only Loadcenter, 2 Space, 4 Circuit, Indoor, Flush Mount",Square D,HOM24L70F,70,Main Lug Only,2,4,Indoor,Flush,,LOAD-CENTER-Square-D-HOM24L70F
"Square D 70A Main Lug Only Loadcenter, 2 Space, 4 Circuit, Outdoor, Surface Mount",Square D,HOM24L70RB,70,Main Lug Only,2,4,Outdoor,Surface,,LOAD-CENTER-Square-D-HOM24L70RB
"Square D 70A Main Lug Only Loadcenter, 2 Space, 4 Circuit, Indoor, Surface Mount",Square D,HOM24L70S,70,Main Lug Only,2,4,Indoor,Surface,,LOAD-CENTER-Square-D-HOM24L70S
